iter	Passed	Remaining
0	2	243
1	4	227
2	6	223
3	8	209
4	10	204
5	12	201
6	15	199
7	17	196
8	19	193
9	21	193
10	23	192
11	26	191
12	28	189
13	30	186
14	32	184
15	34	182
16	37	182
17	39	180
18	41	178
19	44	176
20	46	174
21	48	173
22	51	171
23	53	169
24	56	168
25	58	166
26	60	164
27	62	161
28	65	159
29	67	157
30	70	157
31	74	157
32	76	154
33	78	152
34	81	151
35	83	148
36	85	145
37	88	144
38	91	142
39	93	140
40	96	138
41	97	134
42	100	132
43	103	131
44	106	129
45	108	127
46	111	125
47	114	123
48	116	121
49	119	119
50	122	117
51	125	115
52	127	113
53	130	111
54	132	108
55	134	105
56	136	103
57	139	100
58	141	98
59	144	96
60	146	93
61	149	91
62	151	88
63	153	86
64	156	84
65	158	81
66	160	79
67	162	76
68	164	74
69	167	71
70	169	69
71	172	66
72	174	64
73	176	62
74	179	59
75	181	57
76	183	54
77	186	52
78	188	50
79	190	47
80	193	45
81	195	42
82	198	40
83	200	38
84	203	35
85	205	33
86	208	31
87	210	28
88	212	26
89	214	23
90	217	21
91	218	19
92	221	16
93	223	14
94	225	11
95	227	9
96	229	7
97	231	4
98	234	2
99	236	0
