iter	Passed	Remaining
0	156	155945
1	158	79042
2	160	53383
3	162	40543
4	166	33123
5	169	28036
6	172	24504
7	185	23037
8	188	20733
9	190	18875
10	194	17451
11	196	16196
12	199	15122
13	201	14190
14	203	13385
15	206	12717
16	209	12101
17	211	11555
18	214	11070
19	216	10612
20	218	10201
21	224	9967
22	227	9644
23	229	9323
24	231	9042
25	234	8773
26	237	8556
27	240	8332
28	242	8116
29	244	7911
30	246	7718
31	252	7623
32	253	7441
33	255	7270
34	257	7104
35	259	6945
36	261	6795
37	263	6661
38	265	6552
39	267	6425
40	269	6303
41	271	6188
42	273	6078
43	274	5973
44	277	5879
45	281	5829
46	283	5739
47	284	5648
48	286	5558
49	287	5471
50	289	5387
51	291	5317
52	294	5258
53	295	5185
54	297	5114
55	299	5047
56	301	4984
57	303	4925
58	305	4866
59	312	4889
60	313	4833
61	315	4778
62	317	4727
63	320	4680
64	322	4638
65	324	4594
66	326	4546
67	328	4498
68	329	4451
69	331	4410
70	333	4368
71	335	4326
72	341	4330
73	343	4292
74	345	4255
75	346	4217
76	348	4177
77	350	4137
78	351	4100
79	354	4071
80	356	4039
81	357	4006
82	358	3964
83	360	3929
84	362	3897
85	363	3865
86	365	3833
87	369	3832
88	371	3806
89	373	3778
90	375	3749
91	377	3720
92	378	3691
93	380	3665
94	383	3653
95	385	3629
96	387	3605
97	389	3587
98	391	3562
99	393	3539
100	394	3513
101	397	3503
102	400	3487
103	402	3463
104	403	3439
105	404	3414
106	406	3391
107	408	3370
108	409	3349
109	411	3332
110	413	3314
111	415	3294
112	417	3274
113	418	3254
114	420	3233
115	421	3214
116	422	3191
117	424	3172
118	428	3172
119	430	3155
120	431	3136
121	433	3116
122	434	3099
123	436	3081
124	437	3063
125	439	3045
126	440	3028
127	442	3016
128	444	3000
129	445	2984
130	447	2971
131	449	2957
132	451	2944
133	453	2929
134	456	2922
135	458	2912
136	460	2899
137	461	2885
138	463	2869
139	464	2854
140	466	2839
141	467	2822
142	468	2808
143	470	2798
144	472	2786
145	474	2773
146	475	2759
147	476	2745
148	478	2734
149	480	2722
150	482	2711
151	483	2698
152	487	2699
153	489	2687
154	490	2674
155	492	2662
156	493	2650
157	495	2638
158	497	2628
159	498	2616
160	499	2603
161	501	2594
162	502	2582
163	504	2571
164	505	2560
165	507	2548
166	508	2537
167	510	2527
168	511	2517
169	513	2507
170	515	2500
171	517	2492
172	519	2483
173	521	2474
174	522	2464
175	524	2456
176	526	2445
177	527	2435
178	528	2425
179	530	2417
180	532	2408
181	533	2399
182	535	2390
183	536	2380
184	538	2371
185	539	2362
186	541	2353
187	542	2343
188	545	2338
189	547	2333
190	549	2325
191	550	2317
192	552	2309
193	554	2302
194	555	2295
195	557	2287
196	559	2280
197	561	2273
198	562	2264
199	564	2256
200	565	2249
201	567	2242
202	569	2234
203	570	2225
204	571	2217
205	573	2210
206	577	2212
207	579	2206
208	581	2201
